Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer Days,Age,Total_Spent,Education_Graduate,Education_Postgraduate,Education_Undergraduate,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,971,57,1617,1,0,0,0,1,0
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,125,60,27,1,0,0,0,1,0
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,472,49,776,1,0,0,0,0,1
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,65,30,53,1,0,0,0,0,1
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,321,33,422,0,1,0,1,0,0
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,453,47,716,0,1,0,0,0,1
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,753,43,590,1,0,0,0,1,0
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,488,29,169,0,1,0,1,0,0
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,548,40,46,0,1,0,0,0,1
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,268,64,49,0,1,0,0,0,1
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,753,38,61,0,0,1,1,0,0
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,386,55,1102,1,0,0,0,1,0
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,386,62,310,0,1,0,0,1,0
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,787,27,46,1,0,0,1,0,0
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,742,68,1315,0,1,0,0,1,0
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,712,34,96,1,0,0,1,0,0
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,827,68,317,1,0,0,0,0,1
